country,region,Antisemitism Index,"Population, total","Population, female (% of total)","Population, male (% of total)",GDP per capita (current US$),Internet users (per 100 people),"Labor force, female (% of total labor force)",Official entrance age to pre-primary education (years),"Unemployment, total (% of total labor force)","Unemployment, female (% of female labor force)",Democracy Index
Bolivia,Latin America,30.0,9922086.923076924,49.89038632867254,50.10961367132745,2109.2137217059935,22.32747764484615,42.79730826738542,4.0,3.869230802242571,4.853846183189978,57.9
Bosnia and Herzegovina,Eastern/Central/Southern Europe,32.0,3685336.3076923075,50.89204829836756,49.10795170163244,4385.689156721725,42.96342820923077,39.51120588703005,3.0,26.384615384615376,27.884615384615383,47.800000000000004
Botswana,Sub-Saharan Africa,33.0,2024778.7692307692,50.590804818269326,49.409195181730674,6240.594974156205,15.612090111846154,45.434357340046375,3.0,17.623076805701622,20.7384617145245,78.7
Brazil,Latin America,16.0,196603890.07692307,50.743334740830655,49.256665259169345,9018.591960805243,40.823576974615385,42.549072598080144,4.0,9.49230758960431,11.57692300356352,73.8
Bulgaria,Eastern/Central/Southern Europe,44.0,7407990.538461538,51.33795068795843,48.66204931204157,6459.872115861684,42.66487141384615,46.31240978251105,3.0,9.638461589813243,9.10769238838783,67.30000000000001
Cameroon,Sub-Saharan Africa,35.0,20058233.153846152,50.01065060981411,49.98934939018589,1307.9535365056893,7.944038024769231,46.80477723978427,4.0,3.9769230622511644,4.692307747327363,34.1
Canada,Western Europe/North America,14.0,34044109.692307696,50.40111850597775,49.59888149402226,44678.81861330991,79.82661257384615,46.941922926157545,4.0,7.038461611821101,6.484615399287297,90.8
Chile,Latin America,37.0,16971490.53846154,50.50696541517043,49.49303458482958,12005.00665047928,46.94766273923077,38.68320655107114,4.0,7.376923084259033,8.70000006602361,78.0
China,Asia,20.0,1337590769.2307692,48.529766613226485,51.470233386773515,4834.786323499393,31.226655931769226,44.13948687197496,3.0,4.315384626388549,3.715384630056528,30.0
Colombia,Latin America,41.0,45827772.461538464,50.692684550671856,49.307315449328144,5711.476553333502,35.15461619715385,41.24894532473206,3.0,10.884615311255821,14.330769245441154,65.5
Costa Rica,Latin America,32.0,4535376.230769231,49.91100219096477,50.088997809035234,8156.027022317727,39.3035512076923,37.2084643908274,3.8461538461538463,7.899999985328088,10.230769267449004,80.3
Cote d'Ivoire,Sub-Saharan Africa,22.0,20582389.769230768,48.98464695751264,51.01535304248738,1229.9561358146561,7.646160403153846,38.52396573882193,3.0,9.261538285475513,11.392307501572846,35.3
Croatia,Eastern/Central/Southern Europe,33.0,4342679.153846154,51.83136056319529,48.1686394368047,12820.959576524976,53.260612168461535,45.70518307720731,3.0,13.092307530916631,14.015384380634005,69.3
Czech Republic,Eastern/Central/Southern Europe,13.0,10415629.461538462,51.01144302030733,48.98855697969267,18319.48729000379,62.40478150307693,43.86327788918269,3.0,6.361538446866549,7.638461553133451,79.4
Denmark,Western Europe/North America,9.0,5547862.769230769,50.375252857014296,49.624747142985704,56685.86690062478,89.37830848923076,47.101903245732586,3.0,5.82307689006512,5.923076978096595,91.1
